iNote	iWine	Type	Vintage	Wine	Locale	Producer	Varietal	MasterVarietal	Country	Region	TastingDate	Defective	Rating	TastingNotes	CScore
2699869	963090	Red	2008	Clos du Mont-Olivet Côtes du Rhône Vieilles Vignes Montueil la Levade	France, Rhône, Southern Rhône, Côtes du Rhône	Clos du Mont-Olivet	Red Rhone Blend	Red Rhone Blend	France	Rhône	3/26/2012	False	89	Medium ruby, purple at the edge. Clear, bright, med+ viscosity, slightly staining. \nNose: Cherry liqueur, herbal, clove, lots of funky earthy aromas, reminds me of Thackrey Pleiades. Faint brett and clove. Cherry liqueur again. Menthol-Eucalyptus. \nPalate: really intriguing animal aromas, Really reminds me of Pleiades. Savory, dark, charcoal, liquorice, very intriguing and complex earth. \nMed+ body, weighty mouthfeel, med+ acid, med plush tannins. Slightly bitter finish, but pleasant. med+ finish. Very nice! herbs. H alcohol (14%). Med+ complexity, very nice wine!\n\nPossibilities?\nNot sure - tastes new world, but earthy in an old world style. Guessing: Thackrey, Pleiades, Rhone blend. 88-90 pts.\n\nActually: \nClos du mont olivet, "montueil la levade" - Cotes du Rhone(!) 2008, 14% (!). What a crazy-ripe CdR!	88
2699860	1184632	Red	2010	Domaine de la Chevalerie Bourgueil Cuvée Venus	France, Loire Valley, Touraine, Bourgueil	Domaine de la Chevalerie	Cabernet Franc	Cabernet Franc	France	Loire Valley	3/26/2012	False	85	Med ruby, slightly cloudy. Violet on the rim, med+ tears, slightly staining. \nNose: Warm IBMP. stewed bell peppers. Some good cherry fruit. Well-integrated. Developing. Slight diacetyl (butter). (guess: bourgueil, SNdB, or Chinon). \n\nPalate: light oak (mild roasted coffee), hint of oak treatment. mild tomato in the mouth, savory, with med+ acid (mostly lactic), med body, med/med+ alcohol. L tannins. Med finish, some sawdust. \n\nGuess: St. Nicholas de Bourgueil (richer, savorier). \n\nActually: Bourgueil. \n13%. 100% Cab franc, 2010.	87
2699853	1308921	Red	2011	Picton Bay Pinot Noir	New Zealand, South Island, Marlborough	Picton Bay	Pinot Noir	Pinot Noir	New Zealand	South Island	3/26/2012	False	85	Medium clear, bright, light+ ruby in the glass. Violet-to-clear at the rim. Can see fingers through the glass. Medium tears.\n\nNose: Has a sharp-spicy-woody pinot nose. Warm olive hints. NZ Pinot? Nice nose. Pinot fruit, raspberry, some wood, sour cherry. Slightly reductive. Fresh sawn wood in the sun. \n\nPalate: sawdust, med+ body, fruity, med+ acidity (mix of malic, lactic). Wood - american oak? Med finish, light tannins. \n\nGuess: NZ Pinot, 08. \n\nRipe, but good acidity, so new world, cooler climate. \nCould be: Pinot: chile, oregon, NZ. (which are cooler than Sonoma, Napa). \n\nThis is nice, but not really my preferred style. 83-87. \n\nActually: Picton Bay, Marlborough pinot noir, 2011 (young! - I should have paid attention to the lack of developing characteristics). 13%	84
2699844	1133332	White	2010	Château Graville-Lacoste Blanc	France, Bordeaux, Graves	Château Graville-Lacoste	Sémillon-Sauvignon Blanc Blend	Sémillon-Sauvignon Blanc Blend	France	Bordeaux	3/26/2012	False	75	Nose: stinky, a bit reductive - burnt rubber. Faint body odor. Distinct note of marijuana. Lime.\nP: Med- body, med alcohol (11.5-12.5%), med+ acidity, both tart (malic) and clean (lactic). Light bitterness. Bitter on the finish. \n\nOld world, cool climate. No friggen idea where. \n\nPossible Varietals:\nSauv Blanc - lime, acidity, bitterness. Pouilly-fume?\nNZ Sauv blanc?\nS. African sauv blanc?\nSomeone proposed Chablis, which could also make sense. \n\nActually: \n2010 Ch. Graville-Lacoste, Graves. 12%\n(Kermit Lynch)\nWeird. \n\nDidn't really like this wine. Found it quite puzzling and strange.	87.8780487804878
2699831	1271419	White	2009	Blason de Bourgogne Montagny 1er Cru	France, Burgundy, Côte Chalonnaise, Montagny 1er Cru	Blason de Bourgogne	Chardonnay	Chardonnay	France	Burgundy	3/26/2012	False	65	Light straw, clear, and bright in the glass. \nN: Mostly nose-deaf on this wine, in contrast to others in the group. Hints of animal scents, barnyard, some wood (actual wood, not well integrated). Faint lemon.\nP: Acid-deficient on the midpalate, woody bitterness. Some malic tartness on sides of the tongue, med+ acidity on the finish. Nose seems vaguely familiar, but I'm not sure why. L Body, med- alcohol - 10-11.5%. Significant bitterness on the finish, which should help me narrow down the varietals.\n\nOld world, definitely.\n\nVarietals:\nPinot gris/pinot grigio (because of lightness and bitterness).\nPicpoul - because of malic acid and bitterness and lightness.\nGewurz - no, the aromatics and body aren't there.\nMarsanne-roussanne blend (rhone white). Not fat/oily enough. too much acid.\nVerdejo - no, I don't find verdejo bitter. \n\nI'm going with Kirk's guess of a dry pinot gris from Oregon.\nI'm not a fan of this wine. \n\n09 Montagny 1er cru, Blason de Bourgogne. 13%. ??????\nNever had a chard this bitter. Maybe it was something to do with the fermentation/crushing? Or maybe the grapes weren't ripe, which would explain the distinct lack of fruit. Usually I get this level of bitterness only in specific varietals - pinot gris, verdicchio, gewurz, picpoul.\n----\nThis explains a lot:\nFrom a fellow taster on CellarTracker:\n\n"According to the Wine Doctor, Kris Kissac (website) "Montagny premier cru is one of those most aberrant of misnomers, like Bordeaux Supérieur, nomenclature that clangs with grandeur but in fact relates to little more than alcoholic strength." The only qualification for the premier cru classification in this region is that the alcohol be more than 11.5%.""	85
2699816	1071361	White	2009	Botanica Chenin Blanc	South Africa, Western Cape	Botanica	Chenin Blanc	Chenin Blanc	South Africa	Western Cape	3/26/2012	False	91	Light straw, bright, clear in the glass. \nN: Waxy, with a tinge of balsamic vinegar. Med+ intensity. Petrol, durian and ripe jackfruit character. \nP: Rich, hint of banana-y creaminess. Slightly off-dry. Med+ body, ripping lactic acid that also hits the tongue immediately. Med+ alcohol, med+ finish. Some wood - well-integrated. Complex, well executed, AND a style I like = I like this wine! \n\nDeveloping. There are some secondary fruit and non-fruit characteristics. \n\nThinking old world based on acidity and subtle oak. Chardonnay. Great fruit integration. ....\nActually maybe New World - reminds me of Hyde De Villaine Chardonnay with its rippling acidity and well-integrated fruit and oak. \n\nGuess: HDV Chardonnay, 2007-8, California. \n\nActually: Botanica 2009 Chenin! 100% chenin. 13.58%	90.8
2699805	1156215	White	2010	Quinta das Arcas Vinho Verde Arca Nova	Portugal, Minho, Vinho Verde	Quinta das Arcas	White Blend	White Blend	Portugal	Minho	3/26/2012	False	79	Clear, day bright, light straw-green in the glass. No tears, faint bubbles.\nNose: med- intensity nose of light detergent fruit, faint green apple stems. Some sweetness/warmness/ripeness to the nose. \nPalate: slightly off-dry, light apple core, fruity, light body, med acid (mostly malic, light finish, light alcohol (10-11%). \n\nOld World due to low alcohol, acid structure. \n\nPossible varietals: \nmoscato based on nose and frizzante? \nould be a new world sauv blanc, cool climate (reminiscent of a particularly light sauv blanc from california). Upon revisiting the wine, more waxy character is emerging, so probably old world. \nPinot grigio? (since it's a light wine). \n\nGuess: Moscato D'Asti. \n\nActually: Vinho verde, 2010 (a bit old for a VV). 11%\n\nSolidly made. though I'm not familiar with this genre. 78-80 pts.	81.6666666666667
2654926	1084438	Red	2009	Mongeard-Mugneret Bourgogne Hautes Côtes de Nuits Les Dames Huguettes	France, Burgundy, Bourgogne Hautes Côtes de Nuits	Mongeard-Mugneret	Pinot Noir	Pinot Noir	France	Burgundy	2/27/2012	False	83	In the glass: light ruby, violet-to-clear at the rim, clear, bright, light tears, not staining.\n\nOn the nose: slightly reduced at first sniff... on second though, no. Brett. Barnyard on the back end. Floral notes. \n\nOn the palate: Savory with high clean acidity (not malic), med- body, high acid. Primary fruit: Cherry. \n\nGuess:\nOld World: Secondary non-fruit character. Acidity\nModerate climate\nGrape varieties: Pinot.\nGuess: Pinot - Burgundy, warm climate/vintage\nAge: Young. 2-3 years.\n\nMarkers that others picked up that I missed: Med+ alcohol! Oak treatment?\n\nErica: Cali pinot\nScott: Santa Barbara Pinot\n\nAnalysis:\n12.5% alcohol. \nBurgundy! Not bad!\n\nEvaluation: Seems well put -together. 80-85.	86.3333333333333
2654923	1212126	Red	2008	Domaine de la Noblaie Chinon Les Chiens-Chiens	France, Loire Valley, Touraine, Chinon	Domaine de la Noblaie	Cabernet Franc	Cabernet Franc	France	Loire Valley	2/27/2012	False	80	Clear, bright, medium (can see fingers through glass) ruby, violet-to-clear at the rim. Med tears, staining.\n\nN: High intensity nose. Vegetal, stewed bell peppers, tomato, savory. Olive, roasted coffee oak - American oak?\n\nP: Medium body, med alcohol, med acidity, med+ tannins. Fine-grained, drying tannins. Med finish, med+ complexity. Upon retasting I can see the med+ alcohol that others felt.\n\nGuess:\nOld world (structure, balance, acidity)\nModerate climate\nGrape varietals: Bdx, strong stewed bellpepper - Cab and Cab Franc.\nCountries: France, spain?! Warm baked quality. Cab franc - St. Nick de Bourgueil? Bourgueil?\nAge: developing secondary characteristics, but color and tannins don't indicate age - 3-5 years. \nSo Bourgueil, Cab Franc, from 2007-2009.\n\nErica/Stella guessed: Priorat (Cab/Grenache blend - makes sense! med+ alcohol, american oak).\n\nAnalysis: \nChinon! I was close!\n100% Cab Franc. \nScott thinks Chinons tend to be bigger than Bourgueils. I thought it was the other way around... but then I've only had a handfull of Bourgueil, SNdB's, and Chinon's... and mostly my conclusions were that the '96 Taluau SNdB was amazing, and the others all pale in comparison.\n\nEvaluation: Not that ripe, but I have to like this wine because I came so close to guessing it! Missing the fruit or acidity to make this pop. 78-82.	88
2654915	1224258	Red	2010	Elio Perrone Barbera d'Asti Tasmorcan	Italy, Piedmont, Asti, Barbera d'Asti	Elio Perrone	Barbera	Barbera	Italy	Piedmont	2/27/2012	False	82	Appearance: Clear, bright, med ruby, violet - clear to rim. med- tears. not staining.\n\nNose: Med+ intensity, developing, strong bitterness bordering on skunk, earthy, non-fruit dominated. Black pepper, blackberry, med dusty wood (Scott thinks barrique, French oak). \n\nP: Sweet and fleshy, like my memory of Klein Zinfandel. Full-bodied. Definitely some oak treatment. Tart acidity. Med+ finish. L+ tannins, med+ alcohol. Oak treatment - some dusty wood. Medium acidity (salivation after spitting), malic in character. Medium complexity. \n\nGuess:\nOld world. Seemed fleshy and sweet on the palate, but there's balancing acidity, and the nose isn't very fruit-driven. \nClimate: warm\nGrape varietals: syrah? Grenache(fleshiness)?\nCountries: France, spain.\nAge: Young? 3-5 years.\n\nAnalysis:\nScott: Acid and tannins said Barbera - he gave the acid Med+\n-Scott: med+ body, med+alcohol, med+ acid.\n14% alcohol.\n\nEvaluation:\nI was not a fan of the mouthfeel, balance, or nose, but it seems well-put-together. 80-85?	83.1428571428571
2654910	1092231	Red	2009	Potel-Aviron Moulin-à-Vent Vieilles Vignes	France, Burgundy, Beaujolais, Moulin-à-Vent	Potel-Aviron	Gamay	Gamay	France	Burgundy	2/27/2012	False	0	Medium-clear, bright, ruby, violet-rim, clear toward the edge. Med- tears. Staining (tears have color) - therefore med+ viscosity. \n\nNose: Dark, meaty, L animal barnyard, rich plum, olive, black cherry concentrate, earthy, mushroom-huitlacoche, faint wet dog/leaning towards brett. \n\nPalate: very dry, wood treatment bordering on sawdust. Finish is unpleasantly bitter, dry, flavorless, sawdusty. Nothing but sawdust at the end. Med-body, med acidity, med+ tannins (quite tannic!). Out of balance with a short finish. (alcohol seems a bit hot - I missed this at first). \n\nGuess:\nOld world based on balance. \nHeavily leaning towards italy based on the nose profile. \nAglianico/Dolcetto? (because it's darker than Sangio/Nebb, but with high tannins). Other than that, I'm not sure- it's over-wooded.\nYoung: 2009-10, based on color.\n\nAnalysis: \nNose and Med- acidity was Scott's indicator for Beaujolais-Moulin-A-Vent! \n12.5% alcohol - though seemed hotter. \nOn revisiting it, the nose had a tone of warm baked strawberry that gave away Beaujolais, and I can see the med acidity, med tannin. \n\nI wasn't a fan of this wine, mostly due to the oak treatment seeming too sawdusty. 75-80. But I'm open to the possibility that I didn't have good palate conditions, given some of the other tasting notes on this wine - esp. from Kirk.	90.2083333333333
2654907	1172688	White	2010	Bodegas La Cana Rías Baixas	Spain, Galicia, Rías Baixas	Bodegas La Cana	Albariño	Albariño	Spain	Galicia	2/27/2012	False	87	Clear and bright in the glass, with light straw color and medium tears.\n\nNose: Immediate musty oyster shells. Chalky funk. Dead-on dried apricots (! took me a while to come up with that). Bitterness on the back-end. Med+ intensity nose with a significant non-fruit component. Wax and spices.\n\nPalate: Slightly off-dry with more sweet dried apricots. Med+ body, weighty feeling, Med alcohol (12%?), Med acidity, finish is Med length. Lingering dried apricots for a long time, with a weighty, slightly oily feel. Floral elements. Balance is on the richer side, but it is balanced. \n\nGuess: Old world. Chenin Blanc? Vouvray? older - 10 years +/- 3 based on flavor. Though light color and no rim variation would suggest a younger wine. \n\nAnalysis:\n13%! \nAlbarinos are typically not this weighty or ripe. \n\nEvaluation: I liked this and thought it was well-put-together. 85-90.	88.9591836734694
2654900	1099756	White	2009	Domaine de l'Ecu (Guy Bossard) Muscadet de Sèvre-et-Maine Cuvée Classique	France, Loire Valley, Pays Nantais, Muscadet de Sèvre-et-Maine	Domaine de l'Ecu (Guy Bossard)	Melon de Bourgogne	Melon de Bourgogne	France	Loire Valley	2/27/2012	False	87	Clear, day bright, light straw in the glass. Small but distinct legs (="M viscosity").\nN: A brief and surprisingly powerful taste-memory of california tasting rooms when I was very young. Chardonnay? An expressive nose with slight tropical character, L honey, L apple, slight bitterness on back-end.\nP: dry (though it initially tasted sweet - maybe because it is the first wine of the night?), M body. Apples, very nice balance, lingering malic acidity with L fresh pear flavor. M+ acidity. Clean tart balance throughout (including midpalate tartness). M Alcohol - 12%?\n\nGuess: \n12% Alcohol\nOld world because of structure, but tropical fruit makes me think new world. Not enough acidity to be riesling.\n\nAnalysis:\n12% Alcohol was correct.\nI haven't tried many Muscadets, but one big thing I missed was minerality on the palate. \n\nEvaluation:\nI liked this wine, and thought it was well put-together. 85-90pts.	87.3333333333333
2564864	359994	Red	2001	R. López de Heredia Rioja Crianza Viña Cubillo	Spain, La Rioja, La Rioja Alta, Rioja	R. López de Heredia	Tempranillo Blend	Tempranillo	Spain	La Rioja	1/30/2012	False	0	Medium-garnet in the glass.\nN: Oxidized. Very oxidized. \nP: Figgy, watery, acetaldehyde, sour finish. \n\nUpon realizing it was a Lopez de Heredia, and deliberately oxidized, I retasted it. After a while I started to see past the acetaldehyde to get a nice warm earthy fruit quality, with a hint of brett and a savory quality. Seems nice...I'd like to spend more time with this.	88.4
2564853	1019888	Red	2008	Midsummer Cellars Cabernet Sauvignon Fowler's Vineyard	USA, California, Sonoma County, Knights Valley	Midsummer Cellars	Cabernet Sauvignon	Cabernet Sauvignon	USA	California	1/30/2012	False	83	Saturated ruby in the glass, slight garnet on the rim? still looks young.\nNose: Medium intensity, warm baked fruit, a tone of pure strawberry jam - delicious, but just a small component of the nose. \nPalate: Faint tomato, some oak treatment (less than the clos), med+ body, med+ acid, med tannins (not sure about my tannin assessment as I'm still dried out from the Clos. Med- oak, well-integrated, roasted coffee-chocolate, light char. High alcohol. \n\nGuesses:\ntomato + acid = Sangiovese? Nah, too saturated in color. (Scott pointed out this would have much higher acid)\nWarm climate Syrah?\nTempranillo? I'm fishing here.\n\nAnalysis:\nI think my palate was a bit tired from the last wine, as the others tasted much more oak than I got. Other than that, I'm not sure what would have led me to cab.	87.5
2564826	666412	Red	2008	Clos de los Siete (Michel Rolland) Clos de Los Siete	Argentina, Mendoza, Valle de Uco	Clos de los Siete (Michel Rolland)	Malbec Blend	Malbec	Argentina	Mendoza	1/30/2012	False	84	Saturated red, slight-ruby in the glass. Youthful color (slightly violet around the rim).\nBright (not day-bright) / medium luster.\nMed+ intensity nose that is instantly familiar. Deep, charred flavors... hint of IBMP, but not much, [At this point I guessed it was my wine] roasted oaky coffee, well-integrated oak (American?). Dark fruit, ripe.\n\nIn the mouth, med+ body, med acid, med+ alcohol. Could be a ripe bordeaux... but it's new world. Plush, med+ tannins, young texture, feels very polished and fine-grained.	87.9252336448598
2564805	1115661	White	2010	Schloss Gobelsburg Grüner Veltliner Gobelsburger	Austria, Niederösterreich, Kamptal	Schloss Gobelsburg	Grüner Veltliner	Grüner Veltliner	Austria	Niederösterreich	1/30/2012	False	84	L+ gold in the glass, day-bright.\nN: Med- intensity, indistinct funk, minerality (oyster-shells). Faint oak/lees???\nP: L body, low flavor intensity, med acid, less tart than the last one, Acid disappears sooner on finish, but still medium finish. More flavor on the midpalate. Best guess: Chablis or Riesling.\n\nAnalysis:\nWrong! Minerality + body/acid combo are signs of Gruner.	87.6785714285714
2564794	919415	White	2008	Francine et Olivier Savary Chablis	France, Burgundy, Chablis	Francine et Olivier Savary	Chardonnay	Chardonnay	France	Burgundy	1/30/2012	False	78	Light straw in the glass, Daybright.\n\nNose: Totally baffled. Smells a bit like dishwashing detergent and a little fishy. [In hindsight, this type of oyster-shell aroma is minerality]. It was a bit cold, so I didn't get much off the nose. Hint of rice/saffron.\n\nPalate: very light body, lemony, high acid (all malic), much stronger acidity than the first gruner. Not very flavorful on the midpalate or finish, but has a long lingering tartness. Like a ghost, this wine is. German Riesling? \n\nAnalysis:\nKey markers: high minerality, light body.\n\nUpon revisiting... noticed some honeyed quality.\n12.5% alcohol! (seemed lower)	88
2564776	912879	White	2009	Anton Bauer Grüner Veltliner Gmörk	Austria, Niederösterreich, Wagram	Anton Bauer	Grüner Veltliner	Grüner Veltliner	Austria	Niederösterreich	1/30/2012	False	83	Light straw, hint of green, day-bright in the glass.\nNose: Med+ intensity nose, faint IBMP, grapefruit, musty bitterness.\nPalate: L body, bold, ripe flavors, good tart acidity. Somewhat flat on the midpalate, but has solid med+ acid on the finish. Lemony with tart malic acid character. Finish is short and light. Soundly made, nice wine. \n\nI'm going NZ Sauv blanc, possibly acidified, within the last 3 years. \n\nAnalysis:\nThis was my first blind wine in about a year, and it showed. My assessment of the acid was off - there wasn't that acid bitterness. The body and flavors were not nearly bold enough to be new world. The IBMP's were very subtle, barely more than slight herbaceousness. Also note the minerality and structure.	87
2422482	1044619	Red	2007	Piantate Lunghe Rosso Conero	Italy, Marche, Rosso Conero	Piantate Lunghe	Montepulciano	Montepulciano	Italy	Marche	11/18/2011	False	87	Rich savory, warm fruit on the nose. Faintly oxidative character. In the mouth, med tannins, med/med- acid supports rustic fruit. Satisfying.	86
2422481	982927	Red	2008	Podere San Cristoforo Maremma Toscana Carandelle	Italy, Tuscany, Maremma, Maremma Toscana	Podere San Cristoforo	Sangiovese	Sangiovese	Italy	Tuscany	11/18/2011	False	80	Sangiovese. Med- ruby in the glass. A pure town of beautiful cherry on the nose. The palate was a letdown - sawdust. Med- body, dusty tannins. Maybe the oak will calm down on this with age? Not sure if that happens with wines like this.	84.3333333333333
2422480	1155927	Red	2008	Comelli Colli Orientali del Friuli Soffumbergo	Italy, Friuli-Venezia Giulia, Colli Orientali del Friuli	Comelli	Red Blend	Red Blend	Italy	Friuli-Venezia Giulia	11/18/2011	False	85	Med- garnet, lustrous in the glass. Aromas of dusty wood, olive. In the mouth it has dusty, baked fruit, med tannins, med acid, light+ body. Tastes well-balanced, but not exceptionally moving to me.	88
2422474	1045256	Rosé - Sparkling	1001	Le Colture Prosecco di Valdobbiadene Rosé	Italy, Veneto, Prosecco di Valdobbiadene	Le Colture	Prosecco	Prosecco	Italy	Veneto	11/18/2011	False	80	Faint IBMP?! (I believe the importer said there's merlot in this?). Simple tart 'n juicy. needs more acidity and fruit.	84
2422469	1327909	White	2010	Passopisciaro Sicilia Bianco Guardiola	Italy, Sicily, Sicilia	Passopisciaro	Chardonnay	Chardonnay	Italy	Sicily	11/18/2011	False	78	Light vanilla wood, faint moscato-like fruit. needs more acidity.	89
2422463	1164152	White	2009	Fratelli Pezzuto Roero Arneis	Italy, Piedmont, Alba, Roero	Fratelli Pezzuto	Arneis	Arneis	Italy	Piedmont	11/18/2011	False	88	Arneis. Hint of grapefruit, sour tropical tones - reminiscent of moscato. P: light body, great flavors, strong acid, clean, and elegantly-fruited. Great!	88
2214901	265152	Red	2003	Chateau Musar Cuvée Rouge	Lebanon, Bekaa Valley	Chateau Musar	Red Blend	Red Blend	Lebanon	Bekaa Valley	8/8/2011	False	88	Very nice nose of black cherry and blackberry liqueur with a touch of balsamic. In the mouth not super lively, and a touch bitter, but serviceable. I believe Serge said about this cuvee "That? That's not wine." But it's a wine many winemakers would be proud of.	87
2123803	1057285	Red	2009	Bota Box Malbec	USA, California, Central Valley, Lodi	Bota Box	Malbec	Malbec	USA	California	6/13/2011	False	75	Med+ violet in the glass. Nose of blackberries, hint of smoke, suggestion of liquorice. In the mouth about what I expected - sweet, some liquorice and dark fruits, simple. Just enough acidity to balance it out, but still a bit on the cloying side. Acidified?	79.25
1947663	277769	Red - Sweet/Dessert	1967	Antinori Vin Santo Rosso Toscana IGT	Italy, Tuscany, Toscana IGT	Antinori	Red Blend	Red Blend	Italy	Tuscany	2/28/2011	False	90	It's not every day you get to taste a true crapshot of a wine. Older than I am, from a dead appellation (or at least, one that no longer makes red wine), this could have been horribly over-the-hill. But it wasn't. \n\nDark brown in the glass. A dark, sweet, dignified nose, with milk chocolate hints - strongly resembling banyuls. Beautiful balance of sweetness and refined acidity, with fresh(!) fruit and chocolate on the palate. Similar to Trader Joe's chocolate-covered figs stuffed with port-infused chocolate. Gorgeous. 88-91.	90.6666666666667
1947662	869161	White - Sweet/Dessert	2003	Umberto Cesari Albana di Romagna Colle del Re	Italy, Emilia-Romagna, Albana di Romagna DOCG	Umberto Cesari	Albana	Albana	Italy	Emilia-Romagna	2/28/2011	False	82	Light copper-ruby in the glass. Kind of like a sweet sherry. Alcohol city on the nose. Super high alcohol. More restrained than I'd expected on the palate. Similar to a tawny port, but with sherry aspects. It's ok. Albana is the grape variety.	85
1947661	357494	White - Off-dry	2002	Schoffit Tokay Pinot Gris Rangen de Thann Clos St.-Théobald Vendanges Tardives	France, Alsace, Alsace Grand Cru	Schoffit	Tokay Pinot Gris	Pinot Gris	France	Alsace	2/28/2011	False	92	Matt's bottle. Medium copper in the glass. A transfixing nose of wax, deep mouthwatering pear, honey, saffron, orange peel, and japanese rice. Unbelievably seductive on the palate. Rich, sweet, balanced. Goes fantastically with cheesecake and Cowgirl Creamery Red Hawk. $70. 92-94	92
1947660	53288	White - Sweet/Dessert	1995	Domaine Huet Vouvray Moelleux Le Mont	France, Loire Valley, Touraine, Vouvray	Domaine Huet	Chenin Blanc	Chenin Blanc	France	Loire Valley	2/28/2011	False	86	Medium gold in the glass. Beautiful wax, petrol, toast on the nose. Med sweetness and good acidity - some tartness and some clean lactic. Delicious honey waxiness in the mouth. Pretty good. Doug had higher expectation. 86-8	90.25
1947658	658812	Red	2006	Arnot-Roberts Cabernet Sauvignon Clajeux Vineyard	USA, California, Sonoma County, Chalk Hill	Arnot-Roberts	Cabernet Sauvignon	Cabernet Sauvignon	USA	California	2/28/2011	False	83	2.5 barrels. 14.8% alcohol. Dark saturated purple. med IBMP, smells like baked peppers. Thin over-cooked bell peppers with espresso. Med+ tannins, high alcohol, full body. Alcohol is showing through. Balanced acid, fleshy mouthfeel, extracted and impressively powerful. Not much flavor or elegance to win me over though.	85
1947655	256899	Red	2001	Teachworth Cabernet Sauvignon Estate Blend	USA, California, Napa Valley, Diamond Mountain	Teachworth	Cabernet Sauvignon	Cabernet Sauvignon	USA	California	2/28/2011	False	93	Medium+ garnet in the glass. A very ripe nose of rich blackberry liqueur with faint hints of brett. The nose is like dark obsidian on amber, with all the co-reflections that implies. Insinuations of tamari. A delicious wine in the mouth, medium+ bodied, with warm spices, med+ tannins, med+ alcohol, med+ acid. Beautiful flavors and major yum factor. A little cedar, but I don't mind the plain wood in this case - it seems to work in context. Very interesting to boot. In fact, it's reminiscent of musar to me. WOTN. 92-95. ~35 cases!!!	92.2
1947653	584946	Red	2007	Trinity Hill Syrah	New Zealand, North Island, Hawkes Bay	Trinity Hill	Syrah	Syrah	New Zealand	North Island	2/28/2011	False	80	Sara blind:\nMed+ ruby. Bananas, Bright raspberry, carbonic maceration, hint of baked fruit. In the mouth, tart, ripe, with med- body, med acid. Juicy and simple. Beaujolais? Matt+Doug guessed '09 Beaujolais. Strange that this is a syrah. Seems entirely atypical.	86.5
1947651	1016267	Red	2006	Teachworth Cabernet Sauvignon Estate Blend	USA, California, Napa Valley, Diamond Mountain	Teachworth	Cabernet Sauvignon	Cabernet Sauvignon	USA	California	2/28/2011	True	0	Corked. Much sadness.	93
1947649	638754	Red	2004	Argiano Brunello di Montalcino	Italy, Tuscany, Montalcino, Brunello di Montalcino	Argiano	Sangiovese	Sangiovese	Italy	Tuscany	2/28/2011	True	0	Med garnet. Oxidized.\n\nNote: I notice from my notes this is the second time I've tasted this wine, and both times I thought it was oxidized. The others are probably right that this isn't a unique bottle flaw, however I'm pretty sure its oxidized to some extent. Whether you consider it a fault in the wine is subjective. Were it in Musar I probably wouldn't mind. However here it seems out of place, and certainly not pleasant. For my palate, this wine (probably all bottles) is slightly faulted. \n\nBack in '08 I tasted three other argiano wines at the Vias trade tasting, and one of them, the '04 solengo, smelled a bit oxidized. At the time I chalked it up to lingering effects of an oxidized wine I'd smelled earlier (it tends to stick in my palate), but now it seems like a slight coincidence that all three wines are from '04. Not statistically significant for sure, but enough to make me suspicious of Argiano's vinification style.\n\nNote: Roy Richards' minority tasting note from World of Fine Wine:\nRoy Richards: Reductive and maybe faulty - revisit it. The dried out palate would tend to confirm this is corked, albeit slightly. Second bottle also in the same bitter vein, so probably TCA.	90.8214285714286
1947640	863314	Red	2008	Alpha Box & Dice Dolcetto Dead Winemaker's Society	Australia, South Australia, Fleurieu, McLaren Vale	Alpha Box & Dice	Dolcetto	Dolcetto	Australia	South Australia	2/28/2011	False	60	My second wine. A total gamble. Cherry and high alcohol on the nose. Big, ripe, and over-oaked (it's registering as sawdust for me). Full bodied, high alcohol, med+ acidity that is probably fake, low+ tannins. 14.5% allegedly. Yuck.	89
1947638	11990	Red	1996	Yarra Yering Dry Red N°1	Australia, Victoria, Port Phillip, Yarra Valley	Yarra Yering	Red Bordeaux Blend	Red Bordeaux Blend	Australia	Victoria	2/28/2011	False	75	Blind Red from Doug:\nMed garnet. Ripping fresh IBMP (raw cut bell peppers). Med body, tart and juicy with med+ acid. Thin and not-too-ripe fruit. 75. Guess: South America Carmenere. \n\nnote: Yarra Valley is the coolest climate in Victoria, which is already one of the coolest climates in Australia. Doug wasn't happy with how this showed. Should have guessed it was old from the bricking around the rim, though it tasted fresh and young (if unripe).	87.625
1947637	786424	Red	2007	Finca Decero Amano Remolinos Vineyard	Argentina, Mendoza, Lujan de Cuyo, Agrelo	Finca Decero	Red Bordeaux Blend	Red Bordeaux Blend	Argentina	Mendoza	2/28/2011	False	86	Blind Red:\nDark ruby. Light IBMP. Savory warm light chicken hints (?!). Some herb and espresso (oak). P: Full bodied, nicely textured medium tannins. Definitely some new oak. New world. Spain? Good acidity. My guess: Aussie cab-petit verdot blend. 86-8. I used to be more excited about this type of oak integration - especially in Ribera del Dueros and similar modern-style Spanish wines. Maybe it's wearing off on me. \n\nActually: Argentina. 60:35:3:2 malbec/cab/petit verdot/tannat\n\nGot Cab/PV right! kinda random guess though.	89
1947633	12440	Red	1994	Chateau Musar	Lebanon, Bekaa Valley	Chateau Musar	Red Blend	Red Blend	Lebanon	Bekaa Valley	2/28/2011	False	90	Light garnet. Nose is... delicious musar. acetaldehyde, tamari soy sauce around rich fruit. Just a tad high on the VA gives the nose an overtly "glassy" sheen to me. Smelled oxidized to some - I agree, but unusually for me it didn't inhibit my enjoyment of the flavors. Maybe it's something special about Musar, or maybe I'm so familiar with this wine my brain is filling in typical tastes. Light brett. Beautiful. In the mouth savory tamari fruit with brett. Typical medium-body effortless balance. There aren't many producers that I've tasted as much as Musar. Certainly none have been more fascinating, and more pleasurable. If my tasting notes are a bit sparse on this wine, it's only because my memory and imagination can easily fill in 90% of the experience.	91.4576271186441
